z,N1,N3,N5,N7,N9,N11,N13,N15,N17,N19,N21
0.46563,1.8704,1.5671,1.5937,1.6004,1.6029,1.604,1.6044,1.6046,1.6046,1.6045,1.6043
0.46719,1.8694,1.5664,1.5931,1.5998,1.6024,1.6034,1.6039,1.604,1.604,1.6039,1.6038
0.46875,1.8685,1.5658,1.5925,1.5992,1.6018,1.6029,1.6033,1.6035,1.6035,1.6034,1.6033
0.47031,1.8675,1.5651,1.5919,1.5986,1.6012,1.6023,1.6028,1.6029,1.6029,1.6028,1.6027
0.47187,1.8666,1.5645,1.5913,1.598,1.6006,1.6017,1.6022,1.6024,1.6024,1.6023,1.6022
0.47344,1.8656,1.5638,1.5906,1.5975,1.6001,1.6012,1.6017,1.6018,1.6018,1.6018,1.6017
0.475,1.8647,1.5631,1.59,1.5969,1.5995,1.6006,1.6011,1.6013,1.6013,1.6012,1.6012
0.47656,1.8637,1.5625,1.5894,1.5963,1.5989,1.6001,1.6006,1.6007,1.6008,1.6007,1.6006
0.47813,1.8628,1.5618,1.5888,1.5957,1.5983,1.5995,1.6,1.6002,1.6002,1.6002,1.6001
0.47969,1.8619,1.5612,1.5882,1.5951,1.5978,1.5989,1.5995,1.5997,1.5997,1.5997,1.5996
0.48125,1.861,1.5605,1.5876,1.5945,1.5972,1.5984,1.5989,1.5991,1.5992,1.5991,1.5991
0.48281,1.86,1.5599,1.587,1.594,1.5966,1.5978,1.5984,1.5986,1.5986,1.5986,1.5985
0.48438,1.8591,1.5592,1.5864,1.5934,1.5961,1.5973,1.5978,1.5981,1.5981,1.5981,1.598
0.48594,1.8582,1.5586,1.5858,1.5928,1.5955,1.5967,1.5973,1.5975,1.5976,1.5976,1.5975
0.4875,1.8573,1.5579,1.5852,1.5922,1.595,1.5962,1.5968,1.597,1.5971,1.5971,1.597
0.48906,1.8564,1.5573,1.5846,1.5917,1.5944,1.5956,1.5962,1.5965,1.5966,1.5965,1.5965
0.49062,1.8555,1.5566,1.5841,1.5911,1.5939,1.5951,1.5957,1.5959,1.596,1.596,1.596
0.49219,1.8546,1.556,1.5835,1.5905,1.5933,1.5946,1.5952,1.5954,1.5955,1.5955,1.5955
0.49375,1.8537,1.5554,1.5829,1.59,1.5927,1.594,1.5946,1.5949,1.595,1.595,1.595
0.49531,1.8528,1.5547,1.5823,1.5894,1.5922,1.5935,1.5941,1.5944,1.5945,1.5945,1.5945
0.49688,1.8519,1.5541,1.5817,1.5888,1.5916,1.5929,1.5936,1.5938,1.594,1.594,1.594
0.49844,1.851,1.5535,1.5811,1.5883,1.5911,1.5924,1.593,1.5933,1.5934,1.5935,1.5935
0.5,1.8501,1.5528,1.5805,1.5877,1.5905,1.5919,1.5925,1.5928,1.5929,1.593,1.593
0.50156,1.8493,1.5522,1.58,1.5872,1.59,1.5913,1.592,1.5923,1.5924,1.5925,1.5925
0.50313,1.8484,1.5516,1.5794,1.5866,1.5894,1.5908,1.5914,1.5918,1.5919,1.592,1.592
0.50469,1.8475,1.551,1.5788,1.586,1.5889,1.5903,1.5909,1.5913,1.5914,1.5915,1.5915
0.50625,1.8466,1.5503,1.5782,1.5855,1.5884,1.5897,1.5904,1.5907,1.5909,1.591,1.591
0.50781,1.8458,1.5497,1.5777,1.5849,1.5878,1.5892,1.5899,1.5902,1.5904,1.5905,1.5905
0.50938,1.8449,1.5491,1.5771,1.5844,1.5873,1.5887,1.5894,1.5897,1.5899,1.59,1.59
0.51094,1.8441,1.5485,1.5765,1.5838,1.5867,1.5881,1.5888,1.5892,1.5894,1.5895,1.5895
0.5125,1.8432,1.5479,1.576,1.5833,1.5862,1.5876,1.5883,1.5887,1.5889,1.589,1.589
0.51406,1.8424,1.5473,1.5754,1.5827,1.5857,1.5871,1.5878,1.5882,1.5884,1.5885,1.5885
0.51562,1.8415,1.5467,1.5748,1.5822,1.5851,1.5866,1.5873,1.5877,1.5879,1.588,1.588
0.51719,1.8407,1.546,1.5743,1.5816,1.5846,1.586,1.5868,1.5872,1.5874,1.5875,1.5875
0.51875,1.8398,1.5454,1.5737,1.5811,1.5841,1.5855,1.5863,1.5867,1.5869,1.587,1.5871
0.52031,1.839,1.5448,1.5731,1.5805,1.5835,1.585,1.5858,1.5862,1.5864,1.5865,1.5866
0.52187,1.8381,1.5442,1.5726,1.58,1.583,1.5845,1.5852,1.5857,1.5859,1.586,1.5861
0.52344,1.8373,1.5436,1.572,1.5795,1.5825,1.5839,1.5847,1.5852,1.5854,1.5855,1.5856
0.525,1.8365,1.543,1.5715,1.5789,1.582,1.5834,1.5842,1.5847,1.5849,1.5851,1.5851
0.52656,1.8356,1.5424,1.5709,1.5784,1.5814,1.5829,1.5837,1.5842,1.5844,1.5846,1.5847
0.52812,1.8348,1.5418,1.5703,1.5779,1.5809,1.5824,1.5832,1.5837,1.5839,1.5841,1.5842
0.52969,1.834,1.5412,1.5698,1.5773,1.5804,1.5819,1.5827,1.5832,1.5834,1.5836,1.5837
0.53125,1.8332,1.5407,1.5692,1.5768,1.5799,1.5814,1.5822,1.5827,1.583,1.5831,1.5832
0.53281,1.8324,1.5401,1.5687,1.5762,1.5793,1.5809,1.5817,1.5822,1.5825,1.5826,1.5827
0.53438,1.8316,1.5395,1.5681,1.5757,1.5788,1.5804,1.5812,1.5817,1.582,1.5822,1.5823
0.53594,1.8308,1.5389,1.5676,1.5752,1.5783,1.5798,1.5807,1.5812,1.5815,1.5817,1.5818
0.5375,1.8299,1.5383,1.5671,1.5747,1.5778,1.5793,1.5802,1.5807,1.581,1.5812,1.5813
